key,q_no,question,ア,イ,ウ,エ,a_no,1,2,3,4,5,6
H25_2,11,株式会社の役員等の当該株式会社に対する会社法上の損害賠償責任の免除に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．取締役の株式会社に対する損害賠償責任の一部を免除する株主総会の決議があった場合において，当該株式会社が当該決議後に当該取締役に対し退職慰労金を与えるときは，株主総会の特別決議による承認を受けなければならない。,イ．監査役会設置会社において，監査役の株式会社に対する損害賠償責任の一部免除に関する議案を株主総会に提出するには，他の監査役全員の同意を得なければならない。,ウ．委員会設置会社において，執行役が自己のためにした利益相反取引により株式会社に損害が生じた場合には，総株主の同意により，当該執行役の当該株式会社に対する損害賠償責任を免除することができる。,エ．会計参与設置会社は，会計参与の株式会社に対する損害賠償責任について，責任限定契約を会計参与と締結することができる旨を定款で定めることができる。,5,アイ,アウ,イウ,イエ,ウエ,
H25_2,12,委員会設置会社における委員会又はその委員に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．株主総会に提出する取締役の解任に関する議案の内容は，指名委員会によって決定される。,イ．株主総会に提出する会計監査人の選任及び解任並びに会計監査人を再任しないことに関する議案の内容は，監査委員会によって決定される。,ウ．報酬委員会の委員の報酬等については，報酬委員会がその内容を決定することはできない。,エ．委員会設置会社がその執行役に対して訴えを提起する場合には，当該訴えについて委員会設置会社を代表する監査委員は，取締役会によって選定される。,1,アイ,アウ,アエ,イエ,ウエ,
H25_2,13,株式会社の資本金又は準備金に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．株式会社は，資本金の額を定款に記載し，又は記録しなければならない。,イ．株式会社は，資本金の額を登記しなければならない。,ウ．株式会社は，その処分する自己株式を引き受ける者の募集をしようとするときは，増加する資本金及び資本準備金に関する事項を定めなければならない。,エ．株式会社が，剰余金の額を減少して，準備金の額を増加するには，株主総会の決議によらなければならない。,5,アイ,アウ,アエ,イウ,イエ,
H25_2,14,持分会社に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．合資会社は， 1 人の社員で設立することができる。,イ．社員が合名会社の債務を弁済する責任を負う場合には，社員は，合名会社が主張することができる抗弁をもって当該合名会社の債権者に対抗することができる。,ウ．合資会社の社員の加入は，当該社員の氏名又は名称及び住所を登記した時に，その効力を生じる。,エ．合同会社の社員の持分を差し押さえた債権者が，事業年度の終了時において当該社員を退社させる場合には，当該債権者は， 6 箇月前までに当該合同会社及び当該社員にその予告をしなければならない。,4,アイ,アウ,イウ,イエ,ウエ,
H25_2,15,社債に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．社債発行会社は，社債原簿に関する事務を行うことを委託するために，社債原簿管理人を定めなければならない。,イ．社債管理者は，社債発行会社又は社債権者集会の同意を得られなかった場合であっても，やむを得ない事由があるときは，裁判所の許可を得て，辞任することができる。,ウ．会社が 2 種類以上の社債を発行している場合には，すべての種類の社債の社債権者は，単一の社債権者集会を組織する。,エ．ある種類の社債の総額（償還済みの額を除く。）の 10 分の 1 以上に当たる社債を有する社債権者は，社債発行会社又は社債管理者に対し，社債権者集会の目的である事項及び招集の理由を示して，社債権者集会の招集を請求することができる。,5,アイ,アウ,アエ,イウ,イエ,
H25_2,16,次のア～エまでの事項には，吸収合併存続会社が株式会社である場合に，吸収合併契約において定めなければならないものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．吸収合併消滅会社の商号及び住所,イ．吸収合併存続会社の発行可能株式総数,ウ．吸収合併存続会社の取締役の氏名,エ．吸収合併がその効力を生ずる日,2,アウ,アエ,イウ,イエ,ウエ,
H25_2,17,株式移転に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．株券発行会社が株式移転をする場合には，当該株券発行会社の株式に係るすべての株券は，当該株式移転の効力が生ずる日に無効となる。,イ．株式会社が株式移転をした場合には，当該株式会社の株式を目的とする質権は，当該株式移転によって当該株式の株主が受けることのできる金銭その他の財産について存在する。,ウ．株式移転設立完全親会社は，株式移転に際して，株式移転完全子会社の株主に対して，当該株式移転設立完全親会社の株式の全部に代えてその社債を交付することができる。,エ．株式移転設立完全親会社の株主は，株式移転無効の訴えを提起することができない。,1,アイ,アウ,イウ,イエ,ウエ,
H25_2,18,株式会社の解散に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．株式会社は，事業の全部を譲渡した場合には，当該事業の譲渡によって解散する。,イ．株式会社は，事業に関して有する権利義務の全部を対象として吸収分割をした場合には，当該吸収分割によって解散する。,ウ．株式会社は，株主総会の決議によって解散した場合には，清算が結了するまで，株主総会の決議によって，株式会社を継続することができる。,エ．株式会社は，株主総会の決議によって解散した場合には，他の会社がその事業に関して有する権利義務の一部を，吸収分割によって承継することができない。,5,アイ,アウ,イウ,イエ,ウエ,
H25_2,19,金融商品取引法上の有価証券に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．合資会社において，無限責任社員のすべてが合同会社である場合には，当該合資会社の社員権は，金融商品取引法上の有価証券とみなされる。,イ．募集社債の募集事項として社債券を発行する旨を定めた会社において，社債券が発行される前の社債権者の権利は，金融商品取引法上の有価証券とみなされる。,ウ．銀行から統一手形用紙の交付を受けた法人が当該用紙に「CP 」の文字を記載した場合には，当該用紙は金融商品取引法上の有価証券に該当する。,エ．償還の期限について「期限なし」と定めている社債券は，金融商品取引法上の有価証券に該当しない。,1,アイ,アエ,イウ,イエ,ウエ,
H25_2,20,有価証券報告書に虚偽の記載がある場合の金融商品取引法上の損害賠償責任に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，有価証券の取得者は，その取得の際に当該記載が虚偽であることを知らなかったものとする。,ア．有価証券報告書の提出者が負担する賠償責任については，賠償責任額の限度が法定されている。,イ．有価証券報告書の提出者は，故意又は過失がないことを証明した場合であっても賠償責任を負う。,ウ．有価証券報告書を提出した株式会社の社外取締役が負担する賠償責任については，賠償責任額の限度が法定されている。,エ．有価証券報告書を提出した株式会社の監査証明に係る書類について，虚偽でない旨の監査証明をした公認会計士は，故意又は過失がないことを証明した場合であっても賠償責任を負う。,1,アイ,アウ,イウ,イエ,ウエ,
H26_1,1,個人商人（小商人を除く。）の営業に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．自分の畑でとれた野菜を，店舗を用いて自ら販売する者は，商人とはみなされない。,イ．商人が金銭を借り入れる行為は，当該商人の営業のためにするものと推定される。,ウ．他の商人と誤認されるおそれのある商号が不正の目的で使用された場合には，当該商号の使用により営業上の利益を侵害された商人は，当該営業上の利益を侵害した者に対し，当該侵害の停止を請求することができる。,エ．営業の譲受人が譲渡人の商号を引き続き使用する場合において，譲受人が譲渡人の営業によって生じた債務を弁済する責任を負わないためには，営業の譲渡後遅滞なく，譲受人は，責任を負わない旨を登記し，かつ，第三者に対し通知しなければならない。,3,アイ,アエ,イウ,イエ,ウエ,
H26_1,2,商行為に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．商人が商行為を委任するために支配人を選任したときは，当該支配人の代理権は，当該商人の死亡によって消滅する。,イ．支配人が，当該支配人を選任した商人のためにすることを示さないで商行為を代理したときは，その行為は当該商人に対してその効力を生じない。,ウ．商行為の受任者は，委任の本旨に反しない範囲内において，委任を受けていない行為をすることができる。,エ．数人の者がその一人のために商行為となる行為によって債務を負担したときは，その債務は，各自が連帯して負担する。,5,アイ,アエ,イウ,イエ,ウエ,
H26_1,3,株式会社の定款に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．公証人の認証を受けた定款に発起人の報酬に関する事項についての記載又は記録があり，当該事項の調査のため検査役が選任された場合において，検査役の報告を受けた裁判所は，当該事項を不当と認めたときは，これを変更する決定をしなければならない。,イ．株式会社の成立前において，発起人は，発起人が定めた時間内は，いつでも，発起人の定めた費用を支払うことにより，書面をもって作成された定款の謄本の交付を請求することができる。,ウ．株式会社の公告方法は，定款に記載し，又は記録しなければならない。,エ．定款に記載し，又は記録した現物出資に関する事項を調査するために裁判所により選任された検査役の報酬は，当該定款に記載し，又は記録しなければ，その効力を生じない。,1,アイ,アエ,イウ,イエ,ウエ,
H26_1,4,株式会社の発起設立の場合における設立時発行株式又は発行可能株式総数に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．発起人が払込みを行うことによって設立時発行株式の株主となる権利を，当該発起人が譲渡したときは，当該譲渡は無効である。,イ．発起人は，定款で発行可能株式総数を定めている場合には，株式会社の成立の時までに，その過半数の同意によって，当該発行可能株式総数の定めを変更することができる。,ウ．発起人が，その引き受けた設立時発行株式につき，その出資に係る金銭以外の財産の全部を給付した場合において，発起人の全員の同意があるときは，登記その他第三者に対抗するために必要な行為は，会社成立後にすることを妨げない。,エ．発起人が割当てを受ける設立時発行株式の数に関する定めを設けようとする場合には，定款に当該設立時発行株式の数に関する定めがあるときを除き，発起人の全員の同意が必要である。,5,アイ,アエ,イウ,イエ,ウエ,
H26_1,5,種類株式発行会社でない取締役会設置会社における譲渡制限株式の譲渡承認手続に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，それぞれの記述につき，定款に別段の定めはないものとする。 ,ア．株式会社が譲渡承認請求に係る当該株式会社の発行する譲渡制限株式を買い取る場合には，買い取る旨及びその株式の数の決定は，株主総会の特別決議によらなければならない。,イ．譲渡制限株式の指定買取人の指定は，株主総会の特別決議によらなければならない。,ウ．譲渡承認請求をした株主は，株式会社による買取りの通知を受けた後は，当該株式会社の承諾を得た場合に限り，その請求を撤回することができる。,エ．株主が譲渡承認請求をしたにもかかわらず，請求の日から 2 週間以内に，株式会社が承認するか否かの通知をしないときは，当該株式会社は，当該株主との間で別段の合意をした場合を除き，承認をしない旨の決定をしたものとみなされる。,2,アイ,アウ,イウ,イエ,ウエ,
H26_1,6,新株予約権に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，それぞれの記述につき，定款に別段の定めはないものとする。,ア．公開会社でない株式会社は，募集新株予約権の募集事項を定めた場合には，株主に新株予約権の割当てを受ける権利を与えるときを除き，割当日の 2 週間前までに，株主に対し，当該募集事項を通知しなければならない。,イ．新株予約権者は，株式会社の承諾を得て，募集新株予約権の払込金額の全額の払込みに代えて，払込金額に相当する当該株式会社に対する債権をもって相殺することができる。,ウ．公開会社において，募集新株予約権の募集事項の決定時の株価より，新株予約権の行使に際して出資される財産の価額を著しく低い金額とする旨の決定は，株主総会の特別決議によらなければならない。,エ．証券発行新株予約権の新株予約権者は，当該証券発行新株予約権を行使しようとする場合には，新株予約権証券が発行されていないときを除き，当該証券発行新株予約権に係る新株予約権証券を株式会社に提出しなければならない。,4,アイ,アウ,イウ,イエ,ウエ,
H26_1,7,種類株式発行会社でない株式会社における株主総会の招集に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，それぞれの記述につき，定款に別段の定めはないものとする。,ア．取締役会設置会社においては，株主が招集する場合を除き，株主総会の招集の際に定めるべき事項の決定は，取締役会の決議によらなければならない。,イ．委員会設置会社においては，株主が招集する場合を除き，株主総会の招集の際に定めるべき事項は，執行役が決定しなければならない。,ウ．株式会社が，代理人による議決権の行使について，代理権を証明する方法を定めたときは，当該株式会社は，当該事項を株主総会の招集通知に記載し，又は記録しなければならない。,エ．株主総会においてその続行について決議があった場合には，取締役は，改めて株主に対して株主総会の招集通知を発しなければならない。,2,アイ,アウ,イウ,イエ,ウエ,
H26_1,8,取締役会に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．株式会社は，取締役会を招集する取締役を定款又は取締役会で定めることができる。,イ．監査役会設置会社の取締役会は，取締役の全員の同意に加え，監査役の過半数の同意があるときは，招集の手続を経ることなく開催することができる。,ウ．取締役会の決議に参加した取締役であって，その議事録に異議をとどめないものは，その決議に賛成したものと推定される。,エ．取締役会設置会社の親会社の債権者は，当該取締役会設置会社の役員又は執行役の責任を追及するため必要があるときは，裁判所の許可を得て，当該取締役会設置会社の取締役会の議事録の閲覧又は謄写の請求をすることができる。,2,アイ,アウ,イウ,イエ,ウエ,
H26_1,9,株式会社における責任追及等の訴えに関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．公開会社でない株式会社において，当該株式会社に対し，責任追及等の訴えの提起を請求しようとする株主は， 6 箇月前から引き続き当該株式会社の株式を有していなければならない。,イ．株主が提起した責任追及等の訴えの被告が担保提供の申立てをするには，当該被告は，当該訴えの提起が悪意によるものであることを証明しなければならない。,ウ．株主は，責任追及等の訴えを提起したときは，遅滞なく，株式会社に対し，訴訟告知をしなければならない。,エ．責任追及等の訴えを提起した株主が敗訴した場合であっても，悪意があったときを除き，当該株主は，株式会社に対し，これによって生じた損害を賠償する義務を負わない。,5,アイ,アウ,イウ,イエ,ウエ,
H26_1,10,次のア～エまでの記述のうちには，委員会設置会社の取締役会が，その決議によって，執行役に委任することができるものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．譲渡制限株式の指定買取人の指定,イ．多額の借財,ウ．支配人の選任,エ．株式移転計画の内容の決定,3,アイ,アウ,イウ,イエ,ウエ,
H26_1,11,会計監査人に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．監査役会設置会社において，会計監査人が職務上の義務に違反した場合には，監査役の全員の同意によって，その会計監査人を解任することができる。,イ．委員会設置会社において，会計監査人が職務上の義務に違反した場合には，監査委員会の委員の過半数の同意によって，その会計監査人を解任することができる。,ウ．監査役会設置会社において，取締役が会計監査人の解任を株主総会の目的とする場合には，監査役会の同意を得なければならない。,エ．委員会設置会社において，取締役が会計監査人の解任を株主総会の目的とする場合には，指名委員会の同意を得なければならない。,2,アイ,アウ,イウ,イエ,ウエ,
H26_1,12,剰余金の配当に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．株式会社は，当該株式会社の新株予約権を配当財産とすることができない。,イ．取締役会設置会社は， 1 事業年度の途中において 1 回に限り取締役会の決議によって配当財産が金銭である剰余金の配当をすることができる旨を定款で定めることができる。,ウ．金銭以外の財産を配当財産とする剰余金の配当において，株主に金銭分配請求権を与えるときは，当該金銭分配請求権の行使期間の末日は，当該剰余金の配当の効力発生日の翌日から 1 週間以内の日でなければならない。,エ．剰余金の配当に関する事項を取締役会が定めることができる旨の定款の定めがある株式会社においては，株主に金銭分配請求権を与えない場合であっても，取締役会の決議によって，金銭以外の財産を配当財産とする剰余金の配当をすることができる。,1,アイ,アウ,イウ,イエ,ウエ,
H26_1,13,清算株式会社に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．清算株式会社は，残余財産の分配をしようとするときは，株主総会の決議によって，残余財産の分配に関する事項を定めなければならない。,イ．清算株式会社は，その株主に対し，剰余金の配当をすることができる。,ウ．清算株式会社は，その発行済株式の全部を他の株式会社に取得させる株式交換をすることができない。,エ．清算株式会社は，清算事務が終了したときは，遅滞なく，決算報告を作成しなければならない。,5,アイ,アウ,アエ,イエ,ウエ,
H26_1,14,持分会社に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．持分会社は，各事業年度に係る計算書類に係る附属明細書を作成しなければならない。,イ．合名会社は，電磁的記録をもって計算書類を作成することができる。,ウ．合資会社は，社員の損益分配の割合を定款で定めることができる。,エ．合同会社は，貸借対照表を公告しなければならない。,4,アイ,アウ,アエ,イウ,ウエ,
H26_1,15,委員会設置会社でない株式会社の社債に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，それぞれの記述につき，定款に別段の定めはないものとする。,ア．取締役会設置会社でない株式会社が社債を募集する場合には，取締役が募集社債に関する事項を決定することができる。,イ．公開会社が社債を募集する場合には，取締役会は，募集社債の利息支払の方法及び期限の決定を代表取締役に委任することができない。,ウ．社債権者集会に出席しない社債権者は，書面によって議決権を行使することができる。,エ．社債権者集会の招集手続が法令に違反する場合には，社債権者は，社債権者集会の決議の取消しの訴えを提起することができる。,2,アイ,アウ,イウ,イエ,ウエ,
H26_1,16,組織再編に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，それぞれの記述につき，定款に別段の定めはないものとする。,ア．吸収合併消滅株式会社は，吸収合併がその効力を生ずる日（以下「効力発生日」という。）を変更して変更前の効力発生日より前の日を新たな効力発生日とする場合には，当該変更後の効力発生日の前日までに，株主に対し，変更後の効力発生日を通知しなければならない。,イ．合同会社がその事業に関して有する権利義務の全部を他の会社に承継させる吸収分割をする場合には，当該合同会社は，当該吸収分割がその効力を生ずる日の前日までに，吸収分割契約について総社員の同意を得なければならない。,ウ．吸収合併消滅株式会社（以下「消滅会社」という。）の新株予約権の内容として吸収合併後存続する株式会社（以下「存続会社」という。）の新株予約権を交付することができる旨及びその条件の定めがある場合において，消滅会社の新株予約権に代えて交付される存続会社の新株予約権が当該条件に合致するときは，消滅会社の新株予約権者は，消滅会社に対し，自己の有する新株予約権を公正な価格で買い取ることを請求することができない。,エ．新設分割においては，新設分割設立会社に承継させる資産の帳簿価額の合計額が新設分割株式会社の総資産額の 5 分の 1 を超えない場合であっても，新設分割株式会社の株主は，当該新設分割株式会社に対し，自己の有する株式を公正な価格で買い取ることを請求することができる。,3,アイ,アウ,イウ,イエ,ウエ,
H26_1,17,上場株券等を発行する会社（以下「発行会社」という。）の自己株券買付状況報告書（以下「報告書」という。）に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．発行会社は，自己の株式の取得決議のあった株主総会又は取締役会の終結した日の属する月から，報告書を提出しなければならない。,イ．発行会社がその定めた買付期間中に自己の株式に係る上場株券等の買付けを行わなかったときは，当該発行会社は，報告書の提出を要しない。,ウ．発行会社が提出した報告書が公衆の縦覧に供される期間は，有価証券届出書が公衆の縦覧に供される期間と同一である。,エ．報告書の提出義務を負う発行会社による報告書の不提出は，当該発行会社に課徴金の納付が求められる事由に該当しない。,2,アイ,アエ,イウ,イエ,ウエ,
H26_1,18,有価証券報告書に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．内閣総理大臣が，有価証券の発行者である会社の資本金の額が有価証券報告書を提出しなくても公益又は投資者保護に欠けることがないと認めたときは，当該会社は，有価証券報告書を提出する義務を免除される。,イ．金融商品取引所に上場されている特定上場有価証券の発行者である会社は，有価証券報告書を提出する義務を負わない。,ウ．有価証券の募集又は売出しに関する事項は，有価証券報告書の記載事項である。,エ．有価証券報告書を提出しなければならない会社は，四半期報告書又は半期報告書を提出する義務を負う。,4,アウ,アエ,イウ,イエ,ウエ,
H26_2,1,個人商人（小商人を除く。）の商業帳簿に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．個人商人の会計は，一般に公正妥当と認められる会計の慣行に従うものとされている。,イ．裁判所は，申立てにより又は職権で，訴訟の当事者に対し，商業帳簿の全部又は一部の提出を命ずることができる。,ウ．個人商人は，債権者から請求を受けたときは，貸借対照表の謄本を交付しなければならない。,エ．個人商人は，営業年度の終了後，貸借対照表を公告しなければならない。,1,アイ,アウ,アエ,イウ,ウエ,
H26_2,2,匿名組合に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，それぞれの記述につき，営業者と匿名組合員との間に特約はないものとする。,ア．匿名組合員は，営業者の行為について，第三者に対して権利及び義務を有しない。,イ．匿名組合員の出資が損失によって減少したときは，その損失をてん補した後でなければ，匿名組合員は，利益の配当を請求することができない。,ウ．匿名組合員は，営業年度の途中において重要な事由があるときは，裁判所の許可を得ることなく，営業者の業務及び財産の状況を検査することができる。,エ．匿名組合契約は，匿名組合員の死亡によって終了する。,1,アイ,アウ,アエ,イウ,ウエ,
H26_2,3,株式会社の設立に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，設立される株式会社は，種類株式発行会社ではないものとする。,ア．設立時取締役は，発起人の中から選任しなければならない。,イ．発起設立においては，発起人全員の同意によって，公証人の認証を受けた定款を変更して，新たな変態設立事項を定めることができる。,ウ．発起設立においては，設立時監査役を株式会社の成立の時までに解任するためには，発起人の議決権の 3 分の 2 以上に当たる多数をもって決定しなければならない。,エ．発起人は，株式会社の成立後は，錯誤を理由として設立時発行株式の引受けの無効を主張することができない。,5,アイ,アウ,イウ,イエ,ウエ,
