,0
20,"回答:
〇

根拠条文:
会計基準第７号第６項【監査調査の範囲】
監査人は，企業において用いられる組織が財務諸表を作成し，財務報告に記載された財政情勢が概ね正確に反映されたものであることを確認する。これには，簿記帳簿や支給伝票など財務諸表に関連する全ての記録が適切に保管され，製造物流，顧客取引など財務諸表の内容を支持する対照的な証拠が存在するかを調査することが含まれる。"
21,"回答:
〇

根拠条文:
監査基準第15号「財務諸表の四半期レビューに関する監査基準」の第2章 第5節"
22,"回答:
〇

根拠条文:
監査基準第2001号(Rev) 2-8-7"
23,"回答:
〇

根拠条文:
会計基準遵守基準(道1) 116条【第四半期報告】

１　四半期財務諸表の検査を行う監査人は、四半期財務諸表において、企業の財政状態、経営成績及びキャッシュ・フローの状況を重要な点において適正に表示していないと信じさせる事項を認める場合には、その旨を明示する外形性事項を付した限定付結論、或いは否定的結論に基づいて報告しなければならない。"
24,"回答:
〇

根拠条文:
内部統制に関する監査基準第715号 内部統制監査の計画 3.内部統制監査は、財務報告に重要な影響を及ぼすリスクを特定するプロセスとは別に、実施すべきである。財務報告の監査計画とは別に、内部統制監査の計画を立案すべきである。内部統制監査計画は、財務報告監査に関連する監査プロセスから区別される。"
25,"回答:
×

根拠条文:
JICPAの監査基準第220号「監査の証拠の評価」では、財務諸表監査で得られた監査証拠を内部統制監査に利用することは適切ではないとされています。内部統制監査は、財務諸表監査とは独立して実施されるべきです。"
26,"回答:
〇

根拠条文:
公認会計士法第3条第7項"
27,"回答:
×

根拠条文:
内部統制の構築段階においても、監査人は内部統制に対する意見交換や指摘を行うことができる（内部統制に関する監査基準第101号「監査報告の目的」と第102号「監査手続に基づく監査業務」）。"
28,"回答:
〇

根拠条文:
内部統制基準第5－1－1　内部監査の活動基準５－６"
29,"回答:
〇

根拠条文:
ISA315.19: 監査人は、評価対象となった業務プロセスに係る内部統制の運用状況を理解するに当たり，経営者が選択したサンプルの妥当性を検証した上で当該サンプルを利用するべきである。"
30,"回答:
×

根拠条文:
J-SOX法では、内部統制の評価方法について詳細に規定されており、具体的な測定基準や評価基準が示されています。内部統制の不備が複数存在する場合、それらの不備が財務報告に及ぼす潜在的な影響額を明確に把握し、適切な判断を下すことが求められています。"
31,"回答:
〇

根拠条文:
内部統制監査基準第406号「内部統制監査の意見書に表明すべき事項」第3項「意見の根拠の区分」"
32,"回答:
〇

根拠条文:
監査基準第210号「独立性」第5項「専門要員はその承認を維持するために独立性の要請事項を理解し、それらを実行する方法を方法を捉えるために、独立性の保持の方針と手続に関する年1回以上の確認を行わなければならない。」"
33,"回答:
×

根拠条文:
JICPA監査基準第400号「事前の合意と契約更新に関する手続」第17(a)項「監査事務所は、契約の更新に関して、相当な期間と範囲で、関与企業又は関与企業の社会的・経済的な環境について誠実性を検討しなければならない」。関与先の同業他社等の第三者に対する質問だけではなく、自らが関与先とのコミュニケーションを取り、様々な情報源から誠実性を検討する必要がある。"
34,"回答:
〇

根拠条文:
ISA 220 paragraph 2: The fact that the auditor has to assess whether the judgments made by team members are appropriate under the circumstances does not mean that the auditor compromises his or her objectivity by seeking advice or information when needed from firm personnel with the necessary expertise."
35,"回答:
〇

根拠条文:
監査基準第104号 (ASP104) - 97.23 完全性及び明快性: 監査事務所は、不適合が見つかると監査事務所の内部の適切な人物に伝達しなければならないが、关係部門以外の他の部門や取締役会に向けて関連性を明らかにする監査事務所の方法に関する事実を除いてはならない。"
36,"回答:
×
根拠条文:第３条 保証業務の性質及び範囲"
37,"回答:
×
根拠条文:該当なし"
38,"回答:
〇

根拠条文:
JIS Q 17020:2012 5.3.7"
39,"回答:
×

根拠条文:
JICPA保証基準第3号「限定的保証業務」　第5項"
40,"回答:
×

根拠条文:
ISA315.12: The firm shall establish policies and procedures designed to provide it with reasonable assurance that the firm and its personnel comply with relevant ethical requirements."
41,"回答:
〇

根拠条文:
監査基準・一般基準2以前（改訂前）の条文には監査人が公正不偏の態度を保持する局面として「事実の認定，処理の判断及び意見の表明」が規定されていましたが、平成14年の改訂でこの部分が削除されました。監査基準・一般基準2（改訂前）の規定に基づく文言は、AUPガイドラインに掲載されることがありましたが、以降の監査基準ではこの部分が変更されています。"
42,"回答:
〇

根拠条文:
倫理規則第506条「監査人は、その公職に務めることと、或も付随する行動が、本質的独立性を損なうものでない外界に対して認識されるよう、注意を払わなければならない。」"
43,"回答:
〇

根拠条文:
監査基準第１０号「監査人の独立性」"
44,"回答:
×

根拠条文:
監査人は常に経営者に対して懐疑心を持つべきではありません。監査は客観的かつ公正な立場から行われるべきであり、経営者が誠実であることを想定して監査手続を進めることが求められます。監査人が経営者に対して懐疑心を持っている場合には、その懐疑心を具体的に根拠付ける必要があります。"
45,"回答:
〇

根拠条文:
ISA315.14 (監査の手続き及び判断のための情報)"
46,"回答:
〇

根拠条文:
CPA試験マスタードール Part2 5－3－1 監査計画と職業的懐疑心"
47,"回答:
×

根拠条文:
監査人は、職業的懐疑心を保持する必要があり、取締役や監査役に信頼がおかれている場合でも、客観的な監査を行うために懐疑心を持つべきであるとされています。監査人が過去の経験に基づいて信頼をしているからといって、職業的懐疑心を軽減することはできません。"
48,"回答:
〇

根拠条文:
公認会計士法 第26条 利害関係者に提出すべき報告書及び保存すべき文書等"
49,"回答:
×

根拠条文:
公認会計士法 第45条 守秘義務"
50,"回答:
×

根拠条文:
公認会計士法 第15条 「財務書類の監査に従事する者は、監査責任を果たすために必要な情報を、その監査職務を遂行する限りにおいては、交付を受けた者に秘密として取り扱うことができない。」"
51,"回答:
×
根拠条文:公認会計士法第25条"
52,"回答:
〇

根拠条文:
監査基準基本方針集第13号「監査リスクの評価」第12号指導事項（以下、「本指導」）により、リスク要因は資産及び負債に関する様々なアサーションに影響を及ぼす可能性がある。監査人は、重要な虚偽表示リスクを評価の基盤とすることによって、アサーションレベルのリスクに対処するための監査戦略を選択するために必要となるアサーションの特定を行うことが求められる。"
53,"回答:
×
根拠条文:
ISA315.08:監査リスクは、固有リスク及び統制リスクの評価を含む。"
54,"回答:
〇

根拠条文:
監査基準第315号「報告に関する監査作業の実施の際のリスクの評価」より、監査人は被監査者の事業上のリスクを理解することで、重要な虚偽表示リスクを高め、全てのリスクを評価する責任はないとされている。"
55,"回答:
×

根拠条文:
ISA315 22(d)"
56,"回答:
〇

根拠条文:
監査人が監査計画に先立ち、必要な監査チームメンバーの能力、時期、人数を明確にすることは、ISA 300「Planning an Audit of Financial Statements」に基づく監査計画の要件の一部です。"
57,"回答:
〇

根拠条文:
監査基準第131号:監査計画作成の要件、「監査計画は、監査実施前に策定されるべきである。また、監査計画は、監査の性質、範囲、タイミングの決定支援のために、ほどんどの主要な、効率的な監査手続を詳細に包括して、それがどの状態/地位(名義的または実質的)にあるかに関わらず、適切な監査業務を行うための監査の手順の確実な実施を確保することが必要である。」。"
58,"回答:
〇

根拠条文:
監査基準No.3200「監査の計画および実行」§13: 監査人は、監査計画の重要な変更が必要となったときには、それを適切かつ時宜に採り入れなければならない。"
59,"回答:
〇

根拠条文:
CPA会計基準第700号「監査計画およびリスク評価プロシージャの策定」第22項【監査計画の策定】"
60,"回答:
〇

根拠条文:
監査基準第805号「監査手続の実施」第15項「監査人が予期し得ない事態により実地棚卸の立会を実施することができない場合」"
61,"回答:
〇

根拠条文:
第40号公選法 「観察」及び「取締」①監査人は、観察により、プロセス又は手続の実施に関する監査証拠を入手できるが、入手できる監査証拠は観察を行った時点に関する監査証拠に限定される。"
62,"回答:
〇

根拠条文:
ISA315.19 -  The auditor shall obtain an understanding of the entity's controls relating to the integrity of the electronic audit trail."
63,"回答:
〇

根拠条文:
監査基準第４号「適正性の検討」第26号「分析的実証手続」"
64,"回答:
〇

根拠条文:
第三号監査基準10-2-1(監査報告書内容の基本的構成要素)"
65,"回答:
〇

根拠条文:
金融商品取引法第２７条(会社法に基づく法定監査から金融商品取引法に基づく監査を除外する場合)"
66,"回答:
×

根拠条文:
会計基準第705号「監査人の責任」第14項 - 経営者確認書の一部として経営者が確認することを要求するものの果たされなかったことが、かかる経営者による確認の実施におけるアクセプタンス・テストの走行を監査実施するための根拠となる信頼性を提示するべき理由である場合、その状況下で監査人は、関連するフィールドワークの結果を総合的に検討することなしに、監査意見の形で情報を処理してはならない。"
67,"回答:
〇

根拠条文:
ISA 501.76: ""If the auditor is unable to perform necessary procedures in relation to a particular audit assertion, the auditor shall obtain written representations from management to complement other audit evidence in support of an unqualified opinion."""
68,"回答:
〇

根拠条文:
JICPA監査基準No.570「連結財務諸表の監査」 para.28"
69,"回答:
〇

根拠条文:
監査基準第515号 備考6「親会社及び親会社の監査人」"
70,"回答:
〇

根拠条文:
公認会計士法第54条第1項"
71,"回答:
〇

根拠条文:
監査基準第700号「連結財務諸表の監査」第13段階「連結財務諸表の監査計画において考慮すべき事項」"
72,"回答:
〇

根拠条文:
金融商品の会計に関する基準第34号「会計方針の変更，会計基準の修正及び誤りの更正」第26項「監査報告」"
73,"回答:
〇

根拠条文:
監査基準第401号 判定及び報告の基礎 3.監査上の検討事項の識別、評価及び文書化"
74,"回答:
〇
根拠条文: 
監査報告書作成基準第401条"
75,"回答:
×

根拠条文:
200.7「重要な未修正の虚偽表示が注記事項に含まれる場合に関する財務諸表監査の結果の報告」"
76,"回答:
〇

根拠条文:
監査基準第５１１号「重要な虚偽の表示の疑いの扱い」"
77,"回答:
×

根拠条文:
監査基準第700号では、監査人は通常新たに情報が得られたとき、その信頼性について懐疑的に検討する必要があると述べられており、不正リスクに対処する際には職業的懐疑心を持つことが求められています。"
78,"回答:
×

根拠条文: 不正のリスクを発見した場合、監査人は監査役等と相互協力し、適切なアクションを取る必要があります。経営者に問題を直接指摘することは適切ではないため、この記述は誤りです。"
79,"回答:
〇

根拠条文:
監査基準第715号（ISA 715）「監査における不正リスク対応」の適用要求に従って、監査人は、監査中に発見された不正リスクが存在する可能性が高い場合には、速やかに適切な管理職やその他の関係者に報告する必要があります。"
